  n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
  0,             0,               0,              0,         0,           0,          0
  1,             0,               0,              0,         0,           0,          0
  2,             1,               1,              0,         1,           2,          0
  3,             3,               1,              0,         3,           5,          0
  4,             6,               4,              0,         4,           8,          0
  5,            10,               4,              0,         6,          12,          0
  6,            15,               9,              0,         9,          16,          0
  7,            20,               9,              0,        11,          20,          0
  8,            21,               9,              0,        15,          24,          0
  9,            34,              16,              0,        16,          29,          0
 10,            35,              16,              0,        20,          34,          0
 11,            52,              25,              0,        23,          39,          0
 12,            63,              36,              0,        26,          44,          0
 13,            65,              37,              0,        31,          49,          0
 14,            77,              37,              0,        30,          54,          0
 15,            91,              51,              0,        35,          59,          0
 16,           105,              51,              0,        38,          64,          0
 17,           121,              67,              0,        39,          70,          0
 18,           137,              67,              0,        43,          76,          0
 19,           138,              67,              0,        46,          82,       1001
 20,           157,              86,              0,        48,          88,          0
 21,           176,              86,              0,        55,          94,          0
 22,           177,              86,              0,        61,         100,          0
 23,           218,             107,              0,        69,         106,          0
 24,           241,             130,              0,        67,         112,          0
 25,           243,             131,              0,        73,         118,          0
 26,           267,             131,              0,        80,         124,          0
 27,           293,             157,              0,        86,         130,          0
 28,           319,             157,           1001,        76,         136,          0
 29,           347,             185,              0,        81,         142,          0
 30,           375,             185,              0,        95,         148,          0
 31,           376,             185,              0,       102,         154,          0
 32,           435,             215,              0,       108,         160,          0
 33,           436,             215,              0,       113,         167,          0
 34,           499,             247,            999,       119,         174,          0
 35,           565,             280,              0,       122,         181,          0
 36,           634,             315,              0,       111,         188,          0
 37,           603,             315,              0,       116,         195,          0
 38,           675,             351,              0,       117,         202,        999
 39,           676,             351,              0,       119,         209,          0
 40,           753,             390,              0,       129,         216,          0
 41,           719,             390,              0,       133,         223,          0
 42,           720,             390,              0,       141,         230,       1000
 43,           721,             390,              0,       145,         237,          0
 44,           804,             432,              0,       142,         244,          0
 45,           848,             476,              0,       144,         251,          0
 46,           892,             476,           1000,       158,         258,          0
 47,           982,             521,              0,       169,         265,          0
 48,          1030,             567,              0,       163,         272,          0
 49,          1031,             567,           1000,       168,         279,          0
 50,          1081,             615,              0,       175,         286,          0
 51,          1082,             615,              0,       180,         293,          0
 52,          1133,             666,           1000,       201,         300,          0
 53,          1135,             667,              0,       209,         307,          0
 54,          1187,             667,              0,       208,         314,       1000
 55,          1293,             720,              0,       217,         321,          0
 56,          1294,             720,              0,       209,         328,          0
 57,          1295,             720,              0,       213,         335,          0
 58,          1296,             720,              0,       223,         342,          0
 59,          1357,             777,           1000,       224,         349,          0
 60,          1473,             835,              0,       247,         356,          0
 61,          1592,             895,           1000,       260,         363,          0
 62,          1536,             895,              0,       229,         370,          0
 63,          1537,             895,            999,       244,         377,          0
 64,          1600,             958,              0,       259,         384,          0
 65,          1663,             958,           1000,       264,         392,          0
 66,          1664,             958,              0,       260,         400,          0
 67,          1793,            1023,           1000,       260,         408,          0
 68,          1925,            1089,              0,       286,         416,       1000
 69,          1994,            1156,              0,       292,         424,          0
 70,          1995,            1156,           1000,       270,         432,          0
 71,          2066,            1225,              0,       288,         440,          0
 72,          2137,            1296,           1005,       287,         448,          0
 73,          2139,            1297,              0,       301,         456,        994
 74,          2211,            1297,              0,       299,         464,          0
 75,          2212,            1297,           1000,       308,         472,          0
 76,          2359,            1371,           1000,       322,         480,          0
 77,          2435,            1447,              0,       324,         488,       1000
 78,          2437,            1448,              0,       309,         496,          0
 79,          2514,            1448,           1000,       320,         504,          0
 80,          2670,            1526,           1000,       335,         512,          0
 81,          2829,            1606,              0,       325,         520,        999
 82,          2753,            1606,              0,       346,         528,          0
 83,          2754,            1606,           1005,       347,         536,        502
 84,          2917,            1688,              0,       360,         544,       1027
 85,          3001,            1772,            502,       362,         552,          0
 86,          3085,            1772,           1001,       362,         560,          0
 87,          3086,            1772,              0,       372,         568,          0
 88,          3257,            1858,              0,       356,         576,       1000
 89,          3258,            1858,              0,       369,         584,       1000
 90,          3259,            1858,              0,       366,         592,       1000
 91,          3436,            1947,              0,       378,         600,          0
 92,          3527,            2038,              0,       387,         608,          0
 93,          3618,            2038,           1236,       386,         616,        502
 94,          3802,            2130,              0,       401,         624,       1001
 95,          3803,            2130,            999,       396,         632,          0
 96,          3992,            2225,           1011,       412,         640,          0
 97,          3902,            2225,            502,       417,         648,       1001
 98,          3903,            2225,              0,       434,         656,       1000
 99,          4096,            2322,              0,       431,         664,       1000
100,          4097,            2322,              0,       445,         672,       1001
